candidate,layer,proj,fp_parity_rel,A_only_nmse,W_only_nmse,AW_nmse,interaction_nmse,AW_cosine,AW_sqnr_db,max_abs_err_AW,verdict,n_rows
R1_T_currentRC,2,V,3.066875024160254e-06,0.01057450845837593,0.014337163418531418,0.02518206275999546,0.0002703908830881119,0.9876424670219421,15.98908698033103,7.883276462554932,mixed,8000
R1_T_currentRC,3,K,3.3935189094336238e-06,0.004790829494595528,0.006470137741416693,0.011377946473658085,0.00011697923764586449,0.9943536520004272,19.4393611365575,8.063093185424805,mixed,8000
R1_T_currentRC,3,V,2.963589167848113e-06,0.013815284706652164,0.019053157418966293,0.033223945647478104,0.00035550352185964584,0.9837637543678284,14.785487923791452,10.010091781616211,mixed,8000
R1_T_currentRC,4,K,3.12848328576365e-06,0.004818735644221306,0.006692566443234682,0.011627519503235817,0.00011621741577982903,0.9942190051078796,19.34512923358859,8.562522888183594,mixed,8000
R1_T_currentRC,4,V,3.1989370654628146e-06,0.017096180468797684,0.023127669468522072,0.040638163685798645,0.00041431374847888947,0.980238676071167,13.910659247187912,10.002799987792969,mixed,8000
Hadamard,0,K,2.912074251071317e-06,0.0054551986977458,0.007701496593654156,0.013285920955240726,0.00012922566384077072,0.9934359192848206,18.766083357274436,11.229031562805176,mixed,8000
Hadamard,0,V,3.1365270842798054e-06,0.01029301155358553,0.014575071632862091,0.025129402056336403,0.0002613188698887825,0.9876405000686646,15.998178451409338,5.312745094299316,mixed,8000
Hadamard,1,K,3.955801730626263e-06,0.002600941574200988,0.0036815849598497152,0.0063469926826655865,6.446614861488342e-05,0.9968518018722534,21.974320023761003,8.226555824279785,mixed,8000
Hadamard,1,V,2.5995545911428053e-06,0.012298149056732655,0.017217636108398438,0.029792260378599167,0.0002764752134680748,0.9854508638381958,15.258965450323085,6.240694999694824,mixed,8000
Hadamard,2,K,4.115525371162221e-06,0.00450396491214633,0.006216493435204029,0.01082499511539936,0.0001045367680490017,0.9946321249008179,19.6557229094278,7.894237518310547,mixed,8000
Hadamard,2,V,3.4014433367701713e-06,0.010477944277226925,0.014602545648813248,0.025326747447252274,0.000246257521212101,0.9875821471214294,15.964205803006466,7.416838645935059,mixed,8000
Hadamard,3,K,4.086073658982059e-06,0.004759146366268396,0.0067182122729718685,0.011596516706049442,0.0001191580668091774,0.9942485690116882,19.356724420246454,9.467090606689453,mixed,8000
Hadamard,3,V,3.0482631245831726e-06,0.013715414330363274,0.01923394948244095,0.03327804058790207,0.000328676775097847,0.9837712049484253,14.778422529015584,10.822725296020508,mixed,8000
Hadamard,4,K,2.8878305329271825e-06,0.0047826203517615795,0.006582336034625769,0.011486802250146866,0.00012184586375951767,0.9943104386329651,19.398008554199183,8.718493461608887,mixed,8000
Hadamard,4,V,2.932358938778634e-06,0.016962194815278053,0.023735197260975838,0.041092269122600555,0.00039487704634666443,0.9800925254821777,13.862398762554118,9.696975708007812,mixed,8000
Random_s101,0,K,3.3817636904132087e-06,0.005973389372229576,0.007660803850740194,0.013782726600766182,0.00014853337779641151,0.9931802749633789,18.60664858587249,10.271284103393555,mixed,8000
Random_s101,0,V,3.0897131182427984e-06,0.011221237480640411,0.014838132075965405,0.026326272636651993,0.0002669030800461769,0.9870691299438477,15.796106254334077,5.137020587921143,mixed,8000
