basis,rank,channel,branch,channel_in_branch,act_rms,w_col_norm,contrib
stock,44,16169,3,3881,1.204150915145874,4.006739139556885,4.824718601648215
stock,45,11458,2,3266,0.925743043422699,5.102228164672852,4.723352229401257
stock,46,18389,4,2005,1.714849591255188,2.748706579208374,4.713618353835926
stock,47,18636,4,2252,2.944455862045288,1.598837971687317,4.707707838195319
stock,48,14773,3,2485,1.1134209632873535,4.21828031539917,4.696721732187825
stock,49,14376,3,2088,1.1250487565994263,4.174326419830322,4.696320748270239
stock,50,8874,2,682,0.8039365410804749,5.818421840667725,4.6776419291335
stock,51,18472,4,2088,1.6339503526687622,2.8522579669952393,4.660447911074158
stock,52,18649,4,2265,1.1645889282226562,3.998713493347168,4.656857461486652
stock,53,17573,4,1189,1.455919861793518,3.163259506225586,4.605452343120987
stock,54,9231,2,1039,0.7697340250015259,5.961112022399902,4.588470750486863
stock,55,14088,3,1800,0.9347521662712097,4.854518413543701,4.537771603263451
stock,56,14157,3,1869,0.9256518483161926,4.824568271636963,4.465870537968414
stock,57,20265,4,3881,1.6230992078781128,2.7350549697875977,4.4392655549653455
stock,58,18189,4,1805,1.7089625597000122,2.57985782623291,4.408880434381103
stock,59,10007,2,1815,0.6254284977912903,7.021327018737793,4.3913380098305765
stock,60,18184,4,1800,1.4703837633132935,2.983774185180664,4.387293115283001
stock,61,17145,4,761,2.2207770347595215,1.9569610357284546,4.345974126064959
stock,62,11262,2,3070,0.6247402429580688,6.905642032623291,4.314232481242527
stock,63,16517,4,133,1.5734472274780273,2.7337069511413574,4.30134362301078
rotated,0,3280,0,3280,1.8654812574386597,9.727760314941406,18.146954544378787
rotated,1,2557,0,2557,1.6362606287002563,10.450715065002441,17.100093602628135
rotated,2,2154,0,2154,1.8286961317062378,9.167222023010254,16.764063451971083
rotated,3,1950,0,1950,1.8210400342941284,8.839383125305176,16.096870549644677
rotated,4,491,0,491,1.4832632541656494,10.410626411437988,15.441699608932367
rotated,5,3790,0,3790,1.4921618700027466,10.32783317565918,15.410798864468006
rotated,6,2055,0,2055,1.5782800912857056,9.72991943359375,15.356538131854904
rotated,7,1516,0,1516,1.5501656532287598,9.732647895812988,15.087216483058455
rotated,8,3317,0,3317,1.5560643672943115,9.673782348632812,15.053028009668196
rotated,9,3975,0,3975,1.568989872932434,9.521502494812012,14.939140989460952
rotated,10,3617,0,3617,1.568643569946289,9.360180854797363,14.682787511412243
rotated,11,1027,0,1027,1.6147491931915283,9.075258255004883,14.654265945273892
rotated,12,206,0,206,1.6164593696594238,9.056656837463379,14.639717802707764
rotated,13,11472,2,3280,1.8802915811538696,7.776869773864746,14.62278276352788
rotated,14,419,0,419,1.331902265548706,10.972943305969238,14.614888048957937
rotated,15,1800,0,1800,1.6710044145584106,8.73593521118164,14.597786303180783
rotated,16,58,0,58,1.7029290199279785,8.566853523254395,14.588743474222156
rotated,17,1453,0,1453,1.4448057413101196,10.082757949829102,14.567626574153337
rotated,18,105,0,105,1.483365774154663,9.797892570495605,14.533858497917436
