cell,prompt_id,mean_acceptance,acceptance_list,accepted_depths,first_rejection_depths,n_new_tokens,n_cycles,tree_size,exact_match,first_mismatch
T8_D8,82,4.0625,"[4, 2, 3, 2, 4, 4, 4, 6, 6, 4, 4, 5, 6, 5, 3, 3]","[3, 1, 2, 1, 3, 3, 3, 5, 5, 3, 3, 4, 5, 4, 2, 2]","[4, 2, 3, 2, 4, 4, 4, 5, 5, 4, 4, 5, 5, 5, 3, 3]",64,16,26,True,-1
T8_D8,83,4.4,"[4, 6, 4, 6, 6, 6, 3, 4, 4, 3, 4, 3, 4, 6, 3]","[3, 5, 3, 5, 5, 5, 2, 3, 3, 2, 3, 2, 3, 5, 2]","[4, 5, 4, 5, 5, 5, 3, 4, 4, 3, 4, 3, 4, 5, 3]",64,15,26,False,29
T8_D8,84,3.1429,"[4, 2, 3, 4, 3, 4, 4, 2, 6, 4, 5, 2, 3, 2, 2, 2, 2, 2, 4, 1, 5]","[3, 1, 2, 3, 2, 3, 3, 1, 5, 3, 4, 1, 2, 1, 1, 1, 1, 1, 3, 0, 4]","[4, 2, 3, 4, 3, 4, 4, 2, 5, 4, 5, 2, 3, 2, 2, 2, 2, 2, 4, 1, 5]",64,21,26,True,-1
T8_D8,85,2.5769,"[1, 6, 4, 2, 4, 4, 2, 2, 1, 4, 2, 3, 4, 2, 3, 2, 1, 1, 3, 2, 1, 1, 3, 3, 2, 4]","[0, 5, 3, 1, 3, 3, 1, 1, 0, 3, 1, 2, 3, 1, 2, 1, 0, 0, 2, 1, 0, 0, 2, 2, 1, 3]","[1, 5, 4, 2, 4, 4, 2, 2, 1, 4, 2, 3, 4, 2, 3, 2, 1, 1, 3, 2, 1, 1, 3, 3, 2, 4]",64,26,26,True,-1
T8_D8,86,2.8261,"[3, 2, 4, 5, 6, 3, 4, 4, 1, 2, 3, 3, 1, 2, 3, 4, 1, 2, 4, 3, 2, 1, 2]","[2, 1, 3, 4, 5, 2, 3, 3, 0, 1, 2, 2, 0, 1, 2, 3, 0, 1, 3, 2, 1, 0, 1]","[3, 2, 4, 5, 5, 3, 4, 4, 1, 2, 3, 3, 1, 2, 3, 4, 1, 2, 4, 3, 2, 1, 2]",64,23,26,False,41
T8_D8,87,2.913,"[3, 4, 5, 3, 4, 6, 4, 4, 6, 3, 2, 1, 3, 2, 4, 1, 1, 1, 2, 1, 2, 1, 4]","[2, 3, 4, 2, 3, 5, 3, 3, 5, 2, 1, 0, 2, 1, 3, 0, 0, 0, 1, 0, 1, 0, 3]","[3, 4, 5, 3, 4, 5, 4, 4, 5, 3, 2, 1, 3, 2, 4, 1, 1, 1, 2, 1, 2, 1, 4]",64,23,26,True,-1
T8_D8,88,2.6,"[1, 3, 3, 2, 2, 2, 4, 2, 3, 2, 3, 2, 5, 3, 3, 1, 2, 4, 3, 1, 2, 4, 4, 2, 2]","[0, 2, 2, 1, 1, 1, 3, 1, 2, 1, 2, 1, 4, 2, 2, 0, 1, 3, 2, 0, 1, 3, 3, 1, 1]","[1, 3, 3, 2, 2, 2, 4, 2, 3, 2, 3, 2, 5, 3, 3, 1, 2, 4, 3, 1, 2, 4, 4, 2, 2]",64,25,26,True,-1
T8_D8,89,4.125,"[3, 2, 4, 4, 6, 2, 6, 3, 5, 4, 5, 3, 6, 4, 4, 5]","[2, 1, 3, 3, 5, 1, 5, 2, 4, 3, 4, 2, 5, 3, 3, 4]","[3, 2, 4, 4, 5, 2, 5, 3, 5, 4, 5, 3, 5, 4, 4, 5]",64,16,26,False,13
T8_D8,90,3.25,"[4, 3, 6, 4, 2, 2, 3, 3, 4, 3, 3, 4, 5, 1, 3, 2, 4, 4, 3, 2]","[3, 2, 5, 3, 1, 1, 2, 2, 3, 2, 2, 3, 4, 0, 2, 1, 3, 3, 2, 1]","[4, 3, 5, 4, 2, 2, 3, 3, 4, 3, 3, 4, 5, 1, 3, 2, 4, 4, 3, 2]",64,20,26,True,-1
T8_D8,91,2.6667,"[1, 4, 3, 4, 3, 1, 3, 4, 4, 4, 5, 5, 1, 1, 2, 1, 2, 3, 2, 4, 2, 2, 1, 2]","[0, 3, 2, 3, 2, 0, 2, 3, 3, 3, 4, 4, 0, 0, 1, 0, 1, 2, 1, 3, 1, 1, 0, 1]","[1, 4, 3, 4, 3, 1, 3, 4, 4, 4, 5, 5, 1, 1, 2, 1, 2, 3, 2, 4, 2, 2, 1, 2]",64,24,26,False,46
