ds,prompt,cycle_prefix,layer,arm,K_ctx_nmse,V_ctx_nmse,score_nmse,softmax_kl_mean,softmax_tv_mean,top1_agree,attention_dtype
mtbench,2,324,2,rc1,0.00883406214416027,0.018895430490374565,0.0024615859147161245,0.04508894681930542,0.10863467305898666,0.7250000238418579,bf16 (all arms)
mtbench,2,324,3,w4a4,0.13882863521575928,0.30155685544013977,0.0446106418967247,0.2007952779531479,0.2225116789340973,0.703125,bf16 (all arms)
mtbench,2,324,3,rc1,0.008725618943572044,0.024682721123099327,0.0030825650319457054,0.029845375567674637,0.0770992562174797,0.890625,bf16 (all arms)
mtbench,2,324,4,w4a4,0.13887159526348114,0.38219180703163147,0.03658987209200859,0.31389257311820984,0.29089099168777466,0.59375,bf16 (all arms)
mtbench,2,324,4,rc1,0.008532806299626827,0.03142411261796951,0.0023077460937201977,0.02758927084505558,0.08374375849962234,0.859375,bf16 (all arms)
mtbench,2,326,0,w4a4,0.17452694475650787,0.2647305727005005,0.19663749635219574,0.39345067739486694,0.3227512836456299,0.3968749940395355,bf16 (all arms)
mtbench,2,326,0,rc1,0.010994152165949345,0.019185882061719894,0.01269038300961256,0.028293205425143242,0.09090425074100494,0.762499988079071,bf16 (all arms)
mtbench,2,326,1,w4a4,0.055422939360141754,0.29906028509140015,0.046971116214990616,0.15494315326213837,0.17413091659545898,0.8031250238418579,bf16 (all arms)
mtbench,2,326,1,rc1,0.0029328528326004744,0.022580306977033615,0.014845420606434345,0.10238925367593765,0.10542111843824387,0.8812500238418579,bf16 (all arms)
mtbench,2,326,2,w4a4,0.14373977482318878,0.25789591670036316,0.04624216631054878,0.17190204560756683,0.210707426071167,0.6625000238418579,bf16 (all arms)
mtbench,2,326,2,rc1,0.008841157890856266,0.01889261044561863,0.0025309273041784763,0.043764378875494,0.10184605419635773,0.796875,bf16 (all arms)
mtbench,2,326,3,w4a4,0.13846004009246826,0.300353080034256,0.04259322211146355,0.23336653411388397,0.24040095508098602,0.6875,bf16 (all arms)
mtbench,2,326,3,rc1,0.008732670918107033,0.024651478976011276,0.002407423686236143,0.02750200591981411,0.07182715833187103,0.909375011920929,bf16 (all arms)
mtbench,2,326,4,w4a4,0.13846296072006226,0.38089418411254883,0.035930193960666656,0.2456406205892563,0.2550935447216034,0.643750011920929,bf16 (all arms)
mtbench,2,326,4,rc1,0.008540144190192223,0.03138076514005661,0.0020280953031033278,0.018805652856826782,0.06986810266971588,0.8968750238418579,bf16 (all arms)
mtbench,3,75,0,w4a4,0.13862375915050507,0.23034822940826416,0.10531715303659439,0.19398735463619232,0.22288012504577637,0.606249988079071,bf16 (all arms)
mtbench,3,75,0,rc1,0.0098060742020607,0.019265703856945038,0.011041524820029736,0.025293895974755287,0.08091779053211212,0.859375,bf16 (all arms)
mtbench,3,75,1,w4a4,0.09325128048658371,0.2869119346141815,0.08016729354858398,0.4480052888393402,0.26797327399253845,0.6656250357627869,bf16 (all arms)
mtbench,3,75,1,rc1,0.004967639688402414,0.024962643161416054,0.05078611522912979,0.2871667146682739,0.1732018142938614,0.7593750357627869,bf16 (all arms)
mtbench,3,75,2,w4a4,0.13090915977954865,0.23359240591526031,0.016707750037312508,0.18361003696918488,0.2144228219985962,0.606249988079071,bf16 (all arms)
mtbench,3,75,2,rc1,0.009896663017570972,0.02018849551677704,0.0013532257871702313,0.0345105417072773,0.09559692442417145,0.7562500238418579,bf16 (all arms)
mtbench,3,75,3,w4a4,0.10813269019126892,0.25731489062309265,0.014069580473005772,0.21066784858703613,0.23308034241199493,0.6031250357627869,bf16 (all arms)
mtbench,3,75,3,rc1,0.008187005296349525,0.023387953639030457,0.002316538244485855,0.028207821771502495,0.07674231380224228,0.8968750238418579,bf16 (all arms)
mtbench,3,75,4,w4a4,0.10619105398654938,0.3584616184234619,0.013049387373030186,0.25245389342308044,0.2630062401294708,0.5687500238418579,bf16 (all arms)
mtbench,3,75,4,rc1,0.008204149082303047,0.03347080573439598,0.0019237154629081488,0.024101771414279938,0.07750731706619263,0.856249988079071,bf16 (all arms)
mtbench,3,78,0,w4a4,0.14014741778373718,0.2334495484828949,0.11446083337068558,0.201589897274971,0.23261533677577972,0.5406250357627869,bf16 (all arms)
mtbench,3,78,0,rc1,0.009807976894080639,0.0192580446600914,0.012461360543966293,0.02360706590116024,0.07859150320291519,0.778124988079071,bf16 (all arms)
mtbench,3,78,1,w4a4,0.09167475998401642,0.28974127769470215,0.07090339064598083,0.3579561412334442,0.2926381230354309,0.5875000357627869,bf16 (all arms)
mtbench,3,78,1,rc1,0.004861108958721161,0.024912642315030098,0.04450137913227081,0.18293486535549164,0.14583270251750946,0.8343750238418579,bf16 (all arms)
mtbench,3,78,2,w4a4,0.13206365704536438,0.23586657643318176,0.01772928610444069,0.13409589231014252,0.18574026226997375,0.628125011920929,bf16 (all arms)
mtbench,3,78,2,rc1,0.009858603589236736,0.02013333886861801,0.001662745256908238,0.03658270835876465,0.0931299552321434,0.7875000238418579,bf16 (all arms)
mtbench,3,78,3,w4a4,0.109592966735363,0.2609613537788391,0.016209466382861137,0.18041585385799408,0.21052852272987366,0.7406250238418579,bf16 (all arms)
mtbench,3,78,3,rc1,0.008201681077480316,0.02338103950023651,0.002445425372570753,0.03243090957403183,0.07494687288999557,0.871874988079071,bf16 (all arms)
mtbench,3,78,4,w4a4,0.10763146728277206,0.36060670018196106,0.014503437094390392,0.21827168762683868,0.23137497901916504,0.6656250357627869,bf16 (all arms)
mtbench,3,78,4,rc1,0.008193663321435452,0.0331217460334301,0.002134614624083042,0.021156461909413338,0.0685570165514946,0.9000000357627869,bf16 (all arms)
mtbench,3,535,0,w4a4,0.1869860142469406,0.2829119861125946,0.21919779479503632,0.4232015609741211,0.3401268422603607,0.30937501788139343,bf16 (all arms)
mtbench,3,535,0,rc1,0.011123944073915482,0.019436903297901154,0.0126764215528965,0.025986840948462486,0.08727903664112091,0.796875,bf16 (all arms)
mtbench,3,535,1,w4a4,0.051690854132175446,0.31531521677970886,0.05229157954454422,0.18783849477767944,0.20118694007396698,0.7593750357627869,bf16 (all arms)
mtbench,3,535,1,rc1,0.0025276881642639637,0.022466111928224564,0.01308637484908104,0.1005408987402916,0.1211702823638916,0.878125011920929,bf16 (all arms)
