view,out_bin,in_bin,bin_rms
stock,7,24,0.10589761286973953
stock,7,25,0.10612880438566208
stock,7,26,0.10460381209850311
stock,7,27,0.1050548329949379
stock,7,28,0.10600163042545319
stock,7,29,0.10500519722700119
stock,7,30,0.10672164708375931
stock,7,31,0.10504819452762604
stock,7,32,0.12050681561231613
stock,7,33,0.12080742418766022
stock,7,34,0.11990632116794586
stock,7,35,0.12099534273147583
stock,7,36,0.12036703526973724
stock,7,37,0.11959514021873474
stock,7,38,0.12124161422252655
stock,7,39,0.1219310536980629
stock,7,40,0.12056318670511246
stock,7,41,0.12167239934206009
stock,7,42,0.12090716511011124
stock,7,43,0.12023603916168213
stock,7,44,0.12229019403457642
stock,7,45,0.11939477920532227
stock,7,46,0.12042363733053207
stock,7,47,0.12007319182157516
stock,7,48,0.07654044777154922
stock,7,49,0.07774823904037476
stock,7,50,0.07762190699577332
stock,7,51,0.07795006036758423
stock,7,52,0.07839206606149673
stock,7,53,0.07845709472894669
stock,7,54,0.07807742059230804
stock,7,55,0.07806071639060974
stock,7,56,0.07875335961580276
stock,7,57,0.07862694561481476
stock,7,58,0.07884898781776428
stock,7,59,0.07758603245019913
stock,7,60,0.07885207235813141
stock,7,61,0.07852448523044586
stock,7,62,0.07824676483869553
stock,7,63,0.0779077336192131
stock,7,64,0.06378442049026489
stock,7,65,0.06296125799417496
stock,7,66,0.06199219077825546
stock,7,67,0.0635363832116127
stock,7,68,0.06320277601480484
stock,7,69,0.06303465366363525
stock,7,70,0.06330998241901398
stock,7,71,0.062332633882761
stock,7,72,0.06274493783712387
stock,7,73,0.06269487738609314
stock,7,74,0.06290439516305923
stock,7,75,0.06301139295101166
stock,7,76,0.06348232924938202
stock,7,77,0.06357648223638535
stock,7,78,0.06271564215421677
stock,7,79,0.06350723654031754
stock,8,0,0.13783521950244904
stock,8,1,0.13829326629638672
stock,8,2,0.13821391761302948
stock,8,3,0.14208915829658508
stock,8,4,0.14123165607452393
stock,8,5,0.13625836372375488
stock,8,6,0.14099964499473572
stock,8,7,0.1382691115140915
stock,8,8,0.13869979977607727
stock,8,9,0.1502077877521515
stock,8,10,0.1372968852519989
stock,8,11,0.1387527734041214
stock,8,12,0.14360302686691284
stock,8,13,0.14062391221523285
stock,8,14,0.13865849375724792
stock,8,15,0.13771210610866547
stock,8,16,0.09849944710731506
stock,8,17,0.09907610714435577
stock,8,18,0.09777872264385223
stock,8,19,0.09860438108444214
stock,8,20,0.09747250378131866
stock,8,21,0.09902758151292801
stock,8,22,0.10022031515836716
stock,8,23,0.1003873199224472
stock,8,24,0.09896992892026901
stock,8,25,0.0993620976805687
stock,8,26,0.0982438176870346
stock,8,27,0.09858650714159012
stock,8,28,0.09870675206184387
stock,8,29,0.09981389343738556
stock,8,30,0.09950648993253708
stock,8,31,0.09794995188713074
stock,8,32,0.11921751499176025
stock,8,33,0.11910997331142426
stock,8,34,0.11667171865701675
stock,8,35,0.11794073134660721
stock,8,36,0.11720369011163712
stock,8,37,0.11787988990545273
stock,8,38,0.11906187236309052
stock,8,39,0.11697816103696823
stock,8,40,0.11730369925498962
stock,8,41,0.11782617121934891
stock,8,42,0.11707648634910583
stock,8,43,0.11763529479503632
stock,8,44,0.11873680353164673
stock,8,45,0.11773638427257538
stock,8,46,0.11727996915578842
stock,8,47,0.11707282066345215
stock,8,48,0.07642056792974472
stock,8,49,0.07529140263795853
stock,8,50,0.07722359895706177
stock,8,51,0.0758371502161026
stock,8,52,0.0751885250210762
stock,8,53,0.0758913904428482
stock,8,54,0.07608724385499954
stock,8,55,0.07628919184207916
stock,8,56,0.07666485756635666
stock,8,57,0.0764971673488617
stock,8,58,0.07694846391677856
stock,8,59,0.07611583173274994
stock,8,60,0.07630401849746704
stock,8,61,0.07762794196605682
stock,8,62,0.07589195668697357
stock,8,63,0.07533972710371017
stock,8,64,0.061270758509635925
stock,8,65,0.06116268411278725
stock,8,66,0.059935685247182846
stock,8,67,0.060886938124895096
stock,8,68,0.06066405400633812
stock,8,69,0.060474857687950134
stock,8,70,0.06042805314064026
stock,8,71,0.05984172224998474
stock,8,72,0.06059984862804413
stock,8,73,0.060797687619924545
stock,8,74,0.06010476127266884
stock,8,75,0.06003018468618393
stock,8,76,0.06114690378308296
stock,8,77,0.060614679008722305
stock,8,78,0.06035919114947319
stock,8,79,0.06138144060969353
stock,9,0,0.1398657262325287
stock,9,1,0.13987280428409576
stock,9,2,0.1407424509525299
stock,9,3,0.14429305493831635
stock,9,4,0.14241571724414825
stock,9,5,0.13696451485157013
stock,9,6,0.1419147551059723
stock,9,7,0.1399044543504715
stock,9,8,0.14212265610694885
stock,9,9,0.15069332718849182
stock,9,10,0.14011822640895844
stock,9,11,0.14024394750595093
stock,9,12,0.14474689960479736
stock,9,13,0.14249517023563385
stock,9,14,0.1384056657552719
stock,9,15,0.13863591849803925
stock,9,16,0.09966832399368286
stock,9,17,0.09944385290145874
stock,9,18,0.09813475608825684
stock,9,19,0.1003667339682579
stock,9,20,0.09906868636608124
stock,9,21,0.10025449097156525
stock,9,22,0.10046344250440598
stock,9,23,0.10035356134176254
stock,9,24,0.09945064038038254
