module,official_sha,inprocess_sha,identical
model.layers.26.mlp.up_proj.module,ef73dc42cb4c6b6f,ef73dc42cb4c6b6f,True
model.layers.26.self_attn.k_proj,8c6d9ff31e96f02d,8c6d9ff31e96f02d,True
model.layers.26.self_attn.k_proj.module,8c6d9ff31e96f02d,8c6d9ff31e96f02d,True
model.layers.26.self_attn.o_proj,ad9f0888b1399b47,ad9f0888b1399b47,True
model.layers.26.self_attn.o_proj.module,ad9f0888b1399b47,ad9f0888b1399b47,True
model.layers.26.self_attn.q_proj,dd4a94e98a0f412c,dd4a94e98a0f412c,True
model.layers.26.self_attn.q_proj.module,dd4a94e98a0f412c,dd4a94e98a0f412c,True
model.layers.26.self_attn.v_proj,cef3f651afc2ddae,cef3f651afc2ddae,True
model.layers.26.self_attn.v_proj.module,cef3f651afc2ddae,cef3f651afc2ddae,True
model.layers.27.mlp.down_proj,b75ad472f8a5993b,b75ad472f8a5993b,True
model.layers.27.mlp.down_proj.module,b75ad472f8a5993b,b75ad472f8a5993b,True
model.layers.27.mlp.gate_proj,c5fe07d426097a8c,c5fe07d426097a8c,True
model.layers.27.mlp.gate_proj.module,c5fe07d426097a8c,c5fe07d426097a8c,True
model.layers.27.mlp.up_proj,43e5e78397018981,43e5e78397018981,True
model.layers.27.mlp.up_proj.module,43e5e78397018981,43e5e78397018981,True
model.layers.27.self_attn.k_proj,66f54f3b92f398c5,66f54f3b92f398c5,True
model.layers.27.self_attn.k_proj.module,66f54f3b92f398c5,66f54f3b92f398c5,True
model.layers.27.self_attn.o_proj,e3fef6c6505d6189,e3fef6c6505d6189,True
model.layers.27.self_attn.o_proj.module,e3fef6c6505d6189,e3fef6c6505d6189,True
model.layers.27.self_attn.q_proj,e139926821ab6f80,e139926821ab6f80,True
model.layers.27.self_attn.q_proj.module,e139926821ab6f80,e139926821ab6f80,True
model.layers.27.self_attn.v_proj,4a68d094234fd8c2,4a68d094234fd8c2,True
model.layers.27.self_attn.v_proj.module,4a68d094234fd8c2,4a68d094234fd8c2,True
model.layers.28.mlp.down_proj,d589207492af5548,d589207492af5548,True
model.layers.28.mlp.down_proj.module,d589207492af5548,d589207492af5548,True
model.layers.28.mlp.gate_proj,2d935bf958052911,2d935bf958052911,True
model.layers.28.mlp.gate_proj.module,2d935bf958052911,2d935bf958052911,True
model.layers.28.mlp.up_proj,b7ad34a1c4131624,b7ad34a1c4131624,True
model.layers.28.mlp.up_proj.module,b7ad34a1c4131624,b7ad34a1c4131624,True
model.layers.28.self_attn.k_proj,89e43433f9b98e10,89e43433f9b98e10,True
